Tempo decorrido,E[N],E[W],Lambda,Erro Little
38190.00,301.8848415754,150.4205375404,2.0069389893,-0.00000000059651483753
38200.00,301.8229126832,150.3858930768,2.0069895288,-0.00000000059355897974
38210.00,301.7591819712,150.3464336512,2.0070923842,-0.00000000059475269154
38220.00,301.6940404496,150.3180360324,2.0070381999,-0.00000000059975491240
38230.00,301.6279582270,150.3048376939,2.0067747842,-0.00000000059424110077
38240.00,301.5611863358,150.2795304034,2.0066684100,-0.00000000059026206145
38250.00,301.4950602539,150.2584535920,2.0065098039,-0.00000000058730620367
38260.00,301.4302627196,150.2262873253,2.0065081025,-0.00000000058599880504
38270.00,301.3650974812,150.1998057019,2.0064280115,-0.00000000058651039581
38280.00,301.2997854987,150.1712904134,2.0063740857,-0.00000000060020965975
38290.00,301.2326737430,150.1457833590,2.0062679551,-0.00000000059918647821
38300.00,301.1622702897,150.1030002618,2.0063707572,-0.00000000061169203036
38310.00,301.0904207762,150.0673139566,2.0063690942,-0.00000000059498006522
38320.00,301.0159502222,150.0283698060,2.0063935282,-0.00000000059014837461
38330.00,300.9411046238,149.9950917422,2.0063396817,-0.00000000059014837461
38340.00,300.8660584414,149.9656090259,2.0062336985,-0.00000000057542592913
38350.00,300.7887361217,149.9193952704,2.0063363755,-0.00000000059134208641
38360.00,300.7110784582,149.8808124642,2.0063347237,-0.00000000058224713939
38370.00,300.6336227733,149.8287064013,2.0065155069,-0.00000000055899818108
38380.00,300.5561811372,149.7902380479,2.0065138093,-0.00000000056860471886
38390.00,300.4789347566,149.7479788313,2.0065642094,-0.00000000059230842453
38400.00,300.4039396250,149.7029599463,2.0066666667,-0.00000000059486637838
38410.00,300.3279959532,149.6613602401,2.0067170008,-0.00000000059134208641
38420.00,300.2517145446,149.6331816485,2.0065851119,-0.00000000060026650317
38430.00,300.1746652500,149.5968511462,2.0065573770,-0.00000000061129412643
38440.00,300.0987285836,149.5610730676,2.0065296566,-0.00000000060418869907
38450.00,300.0220653999,149.5249308445,2.0065019506,-0.00000000063857896748
38460.00,299.9446164025,149.4922693232,2.0064222569,-0.00000000063897687141
38470.00,299.8667442535,149.4710105400,2.0061866389,-0.00000000063766947278
38480.00,299.7911480685,149.4276418401,2.0062629938,-0.00000000064136429501
38490.00,299.7162376148,149.3904247008,2.0062613666,-0.00000000065591621023
38500.00,299.6423033107,149.3459599649,2.0063636364,-0.00000000067154815042
38510.00,299.5680324369,149.3109977373,2.0063360166,-0.00000000067097971623
38520.00,299.4947901047,149.2784777161,2.0062824507,-0.00000000066592065195
38530.00,299.4212816365,149.2438905251,2.0062548663,-0.00000000065978156272
38540.00,299.3461448825,149.2104194803,2.0062013492,-0.00000000063488414526
38550.00,299.2706288347,149.1516837958,2.0064850843,-0.00000000065534777605
38560.00,299.1984641698,149.1023531335,2.0066649378,-0.00000000065261929194
38570.00,299.1273220303,149.0593249536,2.0067669173,-0.00000000065165295382
38580.00,299.0574251150,149.0207749759,2.0068170036,-0.00000000065364247348
38590.00,298.9900033830,148.9738441650,2.0069966313,-0.00000000063209881773
38600.00,298.9242400220,148.9412116287,2.0069948187,-0.00000000064352434492
38610.00,298.8599439742,148.9150752625,2.0069153069,-0.00000000064613914219
38620.00,298.7964198170,148.8797137540,2.0069653030,-0.00000000065341509980
38630.00,298.7335940343,148.8543035571,2.0068858400,-0.00000000064318328441
38640.00,298.6716345164,148.8293199610,2.0068064182,-0.00000000061731952883
38650.00,298.6085045381,148.7922375838,2.0068822768,-0.00000000061976379584
38660.00,298.5471166370,148.7483604089,2.0070615623,-0.00000000062260596678
38670.00,298.4875574362,148.7284023050,2.0069304370,-0.00000000062499339037
38680.00,298.4285279999,148.7048690893,2.0068510858,-0.00000000060936145019
38690.00,298.3696343681,148.6833136323,2.0067459292,-0.00000000060782667788
38700.00,298.3114609969,148.6582822417,2.0066925065,-0.00000000059935700847
38710.00,298.2528140013,148.6330114450,2.0066391113,-0.00000000059117155615
38720.00,298.1932553138,148.6072829110,2.0065857438,-0.00000000059179683376
38730.00,298.1344937440,148.5704775245,2.0066873225,-0.00000000057104898588
38740.00,298.0774562533,148.5402708422,2.0067114094,-0.00000000056547833083
38750.00,298.0211757904,148.5028041137,2.0068387097,-0.00000000058105342760
38760.00,297.9670413730,148.4683248742,2.0069401445,-0.00000000059225158111
38770.00,297.9126799257,148.4451861753,2.0068867681,-0.00000000060043703343
38780.00,297.8571295641,148.4214517767,2.0068334193,-0.00000000063516836235
38790.00,297.8014388457,148.3976441408,2.0067800980,-0.00000000063522520577
38800.00,297.7442919162,148.3712019519,2.0067525773,-0.00000000066665961640
38810.00,297.6868163715,148.3407848106,2.0067766040,-0.00000000063465677158
38820.00,297.6289426984,148.3120747028,2.0067748583,-0.00000000062573235482
38830.00,297.5726540992,148.2784456882,2.0068503734,-0.00000000061680793806
38840.00,297.5170352752,148.2546655305,2.0067971164,-0.00000000060202864915
38850.00,297.4614010565,148.2004595023,2.0071557272,-0.00000000060038019001
38860.00,297.4072378999,148.1774099289,2.0071024189,-0.00000000061646687755
38870.00,297.3539485775,148.1661878427,2.0068947775,-0.00000000060515503719
38880.00,297.2994199827,148.1315543488,2.0069958848,-0.00000000058128080127
38890.00,297.2437998655,148.1248494611,2.0067112368,-0.00000000055376858654
38900.00,297.1855031117,148.0902345648,2.0067866324,-0.00000000055075588534
38910.00,297.1282313422,148.0561358683,2.0068619892,-0.00000000054319571063
38920.00,297.0700139039,148.0310471949,2.0068088386,-0.00000000054347992773
38930.00,297.0111652574,148.0094297755,2.0067043411,-0.00000000054569682106
38940.00,296.9525067373,147.9879008968,2.0065998973,-0.00000000054939164329
38950.00,296.8938317298,147.9606779505,2.0065725289,-0.00000000054791371440
38960.00,296.8359047491,147.9300414322,2.0065965092,-0.00000000055200644056
38970.00,296.7793316056,147.9133219001,2.0064408519,-0.00000000056769522416
38980.00,296.7220523517,147.8886777825,2.0063878912,-0.00000000055689497458
38990.00,296.6661331725,147.8458086636,2.0065914337,-0.00000000053188387028
39000.00,296.6098024878,147.8273053346,2.0064615385,-0.00000000050351900427
39010.00,296.5532264776,147.7897896561,2.0065880543,-0.00000000050454218581
39020.00,296.4953181218,147.7723788575,2.0064325987,-0.00000000049521986512
39030.00,296.4376522241,147.7362135776,2.0065334358,-0.00000000048999027058
39040.00,296.3810667790,147.6968234650,2.0066854508,-0.00000000049783466238
39050.00,296.3255308237,147.6692739843,2.0066837388,-0.00000000050073367674
39060.00,296.2713039727,147.6423767647,2.0066820276,-0.00000000050522430683
39070.00,296.2165589672,147.6189869625,2.0066291272,-0.00000000051568349591
39080.00,296.1615088395,147.5879135113,2.0066786080,-0.00000000052540372053
